ticker,symbol,strategy,trade_type,side,qty,filled_avg_price,exit_price,realized_pnl,realized_pnl_pct,exit_reason,entry_hour_et,hold_minutes,submitted_at,updated_at
URI,URI260918C01050000,triple_confluence,option,buy,1.0,8.5,5.5,-300.0,-35.29,closed_loss,13,120.1,2026-09-03T17:56:25.711267+00:00,2026-09-04T01:37:57.868273
DXCM,DXCM260918P00090000,triple_confluence,option,buy,3.0,2.55,1.6,-95.0,-37.25,closed_loss,13,107.4,2026-09-03T17:56:23.120137+00:00,2026-09-04T01:37:57.868273
